id,name,description,invoice_label,amount,type_tax_use,tax_group_id/id,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent
,,,,,,,tax,refund,,,100
it12,IT12,"Inköp av tjänst, 12%",,12,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2640 Ingående moms,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
i12i,I12i,Inköp 12% (ink),,12,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2640 Ingående moms,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
i6,I6,Inköp 6%,,6,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2640 Ingående moms,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
it6,IT6,"Inköp av tjänst, 6%",,6,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2640 Ingående moms,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
i6i,I6i,Inköp 6% (ink),,6,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2640 Ingående moms,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
MomsBetala,MomsBetala,Moms att betala(+) eller få tillbaka(-),,0,none,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
MomsIngAvdr,MomsIngAvdr,Ingående moms att dra av,,0,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
MomsUtg,MomsUtg,Summering av utgående moms,,0,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,,100
