id,code,name,account_type,reconcile,name@sv_SE
a2391,2391,"Avbetalningskontrakt, långfristig del",liability_non_current,False,"Avbetalningskontrakt, långfristig del"
a2392,2392,Villkorliga långfristiga skulder,liability_non_current,False,Villkorliga långfristiga skulder
a2393,2393,"Lån från närstående personer, långfristig del",liability_non_current,False,"Lån från närstående personer, långfristig del"
a2394,2394,Långfristiga leverantörskrediter,liability_non_current,False,Långfristiga leverantörskrediter
a2395,2395,Andra långfristiga lån i utländsk valuta,liability_non_current,False,Andra långfristiga lån i utländsk valuta
a2396,2396,Derivat,liability_non_current,False,Derivat
a2397,2397,"Mottagna depositioner, långfristiga",liability_non_current,False,"Mottagna depositioner, långfristiga"
a2399,2399,Övriga långfristiga skulder,liability_non_current,False,Övriga långfristiga skulder
a2410,2410,Andra kortfristiga låneskulder till kreditinstitut,liability_non_current,True,Andra kortfristiga låneskulder till kreditinstitut
a2411,2411,Kortfristiga lån från kreditinstitut,liability_non_current,True,Kortfristiga lån från kreditinstitut
a2412,2412,"Byggnadskreditiv, kortfristig del",liability_non_current,True,"Byggnadskreditiv, kortfristig del"
a2417,2417,Kortfristig del av långfristiga skulder till kreditinstitut,liability_non_current,True,Kortfristig del av långfristiga skulder till kreditinstitut
a2419,2419,Övriga kortfristiga skulder till kreditinstitut,liability_non_current,True,Övriga kortfristiga skulder till kreditinstitut
a2420,2420,Förskott från kunder,asset_prepayments,True,Förskott från kunder
a2421,2421,Ej inlösta presentkort,asset_prepayments,True,Ej inlösta presentkort
a2429,2429,Övriga förskott från kunder,asset_prepayments,True,Övriga förskott från kunder
a2430,2430,Pågående arbeten,asset_current,True,Pågående arbeten
a2431,2431,"Pågående arbeten, fakturering",asset_current,True,"Pågående arbeten, fakturering"
a2438,2438,"Pågående arbeten, nedlagda kostnader",asset_current,True,"Pågående arbeten, nedlagda kostnader"
a2439,2439,Beräknad förändring av pågående arbeten,asset_current,True,Beräknad förändring av pågående arbeten
a2441,2441,Leverantörsskulder,liability_payable,True,Leverantörsskulder
a2443,2443,Konsignationsskulder,liability_payable,True,Konsignationsskulder
a2445,2445,Tvistiga leverantörsskulder,liability_payable,True,Tvistiga leverantörsskulder
a2448,2448,Ej reskontraförda leverantörsskulder,liability_payable,True,Ej reskontraförda leverantörsskulder
a2450,2450,Fakturerad men ej upparbetad intäkt,asset_prepayments,False,Fakturerad men ej upparbetad intäkt
a2460,2460,Leverantörsskulder till koncernföretag,liability_non_current,False,Leverantörsskulder till koncernföretag
a2461,2461,Leverantörsskulder till moderföretag,liability_non_current,False,Leverantörsskulder till moderföretag
a2462,2462,Leverantörsskulder till dotterföretag,liability_non_current,False,Leverantörsskulder till dotterföretag
a2463,2463,Leverantörsskulder till andra koncernföretag,liability_non_current,False,Leverantörsskulder till andra koncernföretag
a2470,2470,"Leverantörsskulder till intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i",liability_non_current,False,"Leverantörsskulder till intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
a2471,2471,Leverantörsskulder till intresseföretag,liability_non_current,False,Leverantörsskulder till intresseföretag
a2472,2472,Leverantörsskulder till gemensamt styrda företag,liability_non_current,False,Leverantörsskulder till gemensamt styrda företag
a2473,2473,Leverantörsskulder till övriga företag som det finns ett ägarintresse i,liability_non_current,False,Leverantörsskulder till övriga företag som det finns ett ägarintresse i
a2480,2480,"Checkräkningskredit, kortfristig",liability_payable,True,"Checkräkningskredit, kortfristig"
a2490,2490,"Övriga kortfristiga skulder till kreditinstitut, kunder och leverantörer",liability_non_current,False,"Övriga kortfristiga skulder till kreditinstitut, kunder och leverantörer"
a2491,2491,Avräkning spelarrangörer,liability_non_current,False,Avräkning spelarrangörer
a2492,2492,Växelskulder,liability_payable,True,Växelskulder
a2499,2499,Andra övriga kortfristiga skulder,liability_non_current,False,Andra övriga kortfristiga skulder
a2510,2510,Skatteskulder,liability_current,True,Skatteskulder
a2512,2512,Beräknad inkomstskatt,liability_current,True,Beräknad inkomstskatt
a2513,2513,Beräknad fastighetsskatt/fastighetsavgift,liability_current,True,Beräknad fastighetsskatt/fastighetsavgift
a2514,2514,Beräknad särskild löneskatt på pensionskostnader,liability_current,True,Beräknad särskild löneskatt på pensionskostnader
a2515,2515,Beräknad avkastningsskatt,liability_current,True,Beräknad avkastningsskatt
a2517,2517,Beräknad utländsk skatt,liability_current,True,Beräknad utländsk skatt
a2518,2518,Betald F-skatt,liability_current,True,Betald F-skatt
a2661,2661,Reklamskatt,liability_non_current,False,Reklamskatt
a2669,2669,Övriga punktskatter,liability_non_current,False,Övriga punktskatter
a2731,2731,Avräkning lagstadgade sociala avgifter,liability_non_current,False,Avräkning lagstadgade sociala avgifter
a2732,2732,Avräkning särskild löneskatt,liability_non_current,False,Avräkning särskild löneskatt
a2740,2740,Avtalade sociala avgifter,liability_non_current,False,Avtalade sociala avgifter
a2750,2750,Utmätning i lön m.m.,liability_non_current,False,Utmätning i lön m.m.
a2761,2761,Avräkning semesterlöner,liability_non_current,False,Avräkning semesterlöner
a2762,2762,Semesterlönekassa,liability_non_current,False,Semesterlönekassa
a2790,2790,Övriga löneavdrag,liability_non_current,False,Övriga löneavdrag
a2791,2791,Personalens intressekonto,liability_non_current,False,Personalens intressekonto
a2792,2792,Lönsparande,liability_non_current,False,Lönsparande
a2793,2793,Gruppförsäkringspremier,liability_non_current,False,Gruppförsäkringspremier
a2794,2794,Fackföreningsavgifter,liability_non_current,False,Fackföreningsavgifter
a2795,2795,Mätnings- och granskningsarvoden,liability_non_current,False,Mätnings- och granskningsarvoden
a2799,2799,Övriga löneavdrag,liability_non_current,False,Övriga löneavdrag
a2810,2810,Avräkning för factoring och belånade kontraktsfordringar,liability_non_current,False,Avräkning för factoring och belånade kontraktsfordringar
a2811,2811,Avräkning för factoring,liability_non_current,False,Avräkning för factoring
a2812,2812,Avräkning för belånade kontraktsfordringar,liability_non_current,False,Avräkning för belånade kontraktsfordringar
a2820,2820,Kortfristiga skulder till anställda,liability_non_current,False,Kortfristiga skulder till anställda
a2821,2821,Löneskulder,liability_non_current,False,Löneskulder
a2822,2822,Reseräkningar,liability_non_current,False,Reseräkningar
a2823,2823,"Tantiem, gratifikationer",liability_non_current,False,"Tantiem, gratifikationer"
a2829,2829,Övriga kortfristiga skulder till anställda,liability_non_current,False,Övriga kortfristiga skulder till anställda
a2830,2830,Avräkning för annans räkning,liability_non_current,False,Avräkning för annans räkning
a2840,2840,Kortfristiga låneskulder,liability_non_current,False,Kortfristiga låneskulder
a2841,2841,Kortfristig del av långfristiga skulder,liability_non_current,False,Kortfristig del av långfristiga skulder
a2849,2849,Övriga kortfristiga låneskulder,liability_non_current,False,Övriga kortfristiga låneskulder
a2852,2852,"Anståndsbelopp för moms, arbetsgivaravgifter och personalskatt",liability_non_current,False,"Anståndsbelopp för moms, arbetsgivaravgifter och personalskatt"
a2860,2860,Kortfristiga skulder till koncernföretag,liability_non_current,False,Kortfristiga skulder till koncernföretag
a2861,2861,Kortfristiga skulder till moderföretag,liability_non_current,False,Kortfristiga skulder till moderföretag
a2862,2862,Kortfristiga skulder till dotterföretag,liability_non_current,False,Kortfristiga skulder till dotterföretag
a2863,2863,Kortfristiga skulder till andra koncernföretag,liability_non_current,False,Kortfristiga skulder till andra koncernföretag
